alpha: 1.0, beta: 0.5
Epoch [7600/10000], Loss: 0.2480
Epoch [7650/10000], Loss: 0.2489
Epoch [7700/10000], Loss: 0.2482
Epoch [7750/10000], Loss: 0.2477
Epoch [7800/10000], Loss: 0.2466
Epoch [7850/10000], Loss: 0.2470
Epoch [7900/10000], Loss: 0.2472
Epoch [7950/10000], Loss: 0.2467
Epoch [8000/10000], Loss: 0.2456
Epoch [8050/10000], Loss: 0.2458
Epoch [8100/10000], Loss: 0.2461
Epoch [8150/10000], Loss: 0.2464
Epoch [8200/10000], Loss: 0.2446
Epoch [8250/10000], Loss: 0.2450
Epoch [8300/10000], Loss: 0.2442
Epoch [8350/10000], Loss: 0.2447
Epoch [8400/10000], Loss: 0.2454
Epoch [8450/10000], Loss: 0.2436
Epoch [8500/10000], Loss: 0.2455
Epoch [8550/10000], Loss: 0.2436
Epoch [8600/10000], Loss: 0.2424
Epoch [8650/10000], Loss: 0.2432
Epoch [8700/10000], Loss: 0.2431
Epoch [8750/10000], Loss: 0.2429
Epoch [8800/10000], Loss: 0.2435
Epoch [8850/10000], Loss: 0.2436
Epoch [8900/10000], Loss: 0.2412
Epoch [8950/10000], Loss: 0.2417
Epoch [9000/10000], Loss: 0.2417
Epoch [9050/10000], Loss: 0.2414
Epoch [9100/10000], Loss: 0.2408
Epoch [9150/10000], Loss: 0.2404
Epoch [9200/10000], Loss: 0.2406
Epoch [9250/10000], Loss: 0.2407
Epoch [9300/10000], Loss: 0.2404
Epoch [9350/10000], Loss: 0.2398
Epoch [9400/10000], Loss: 0.2404
Epoch [9450/10000], Loss: 0.2394
Epoch [9500/10000], Loss: 0.2394
Epoch [9550/10000], Loss: 0.2387
Epoch [9600/10000], Loss: 0.2385
Epoch [9650/10000], Loss: 0.2392
Epoch [9700/10000], Loss: 0.2376
Epoch [9750/10000], Loss: 0.2384
Epoch [9800/10000], Loss: 0.2387
Epoch [9850/10000], Loss: 0.2378
Epoch [9900/10000], Loss: 0.2377
Epoch [9950/10000], Loss: 0.2372
Epoch [9999/10000], Loss: 0.2381
