alpha: 1.0, beta: 0.5
Epoch [0/1000], Loss: 1.7941
Epoch [50/1000], Loss: 0.3836
Epoch [100/1000], Loss: 0.3548
Epoch [150/1000], Loss: 0.3441
Epoch [200/1000], Loss: 0.3387
Epoch [250/1000], Loss: 0.3318
Epoch [300/1000], Loss: 0.3290
Epoch [350/1000], Loss: 0.3268
Epoch [400/1000], Loss: 0.3236
Epoch [450/1000], Loss: 0.3217
Epoch [500/1000], Loss: 0.3191
Epoch [550/1000], Loss: 0.3172
Epoch [600/1000], Loss: 0.3169
Epoch [650/1000], Loss: 0.3136
Epoch [700/1000], Loss: 0.3138
Epoch [750/1000], Loss: 0.3121
Epoch [800/1000], Loss: 0.3107
Epoch [850/1000], Loss: 0.3102
Epoch [900/1000], Loss: 0.3081
Epoch [950/1000], Loss: 0.3085
Epoch [999/1000], Loss: 0.3070
