alpha: 1.0, beta: 0.5
Epoch [0/1000], Loss: 2.1831
Epoch [50/1000], Loss: 0.4130
Epoch [100/1000], Loss: 0.3712
Epoch [150/1000], Loss: 0.3543
Epoch [200/1000], Loss: 0.3449
Epoch [250/1000], Loss: 0.3374
Epoch [300/1000], Loss: 0.3349
Epoch [350/1000], Loss: 0.3305
Epoch [400/1000], Loss: 0.3258
Epoch [450/1000], Loss: 0.3244
Epoch [500/1000], Loss: 0.3212
Epoch [550/1000], Loss: 0.3181
Epoch [600/1000], Loss: 0.3162
Epoch [650/1000], Loss: 0.3163
Epoch [700/1000], Loss: 0.3142
Epoch [750/1000], Loss: 0.3134
Epoch [800/1000], Loss: 0.3102
Epoch [850/1000], Loss: 0.3095
Epoch [900/1000], Loss: 0.3086
Epoch [950/1000], Loss: 0.3077
Epoch [999/1000], Loss: 0.3078
